"Код 
исследования",Наименование исследования,Используемый  материал,Результат исследования,Срок* (рабочие дни) ,Возможность срочного выполнения,Цена,Описание,Подготовка,Клиническая информация,Интерпритация результатов
"50,130","Гепатит С (Hepatitis С Virus),  кач. определение РНК",цельная кровь (ЭДТА),кач,2,,"700,00",,,,
"50,135","Гепатит С (Hepatitis С Virus),  кол. определение РНК",цельная кровь (ЭДТА),кол,2,,"3200,00",,,,
"50,275","Выявление РНК вируса гепатита C (HCV), ультрачувствительный метод",цельная кровь (ЭДТА),кач,2,,"3300,00",,,,
"50,140",Определение генотипа вируса гепатита С,цельная кровь (ЭДТА),ген,2,,"1900,00",,,,
"50,145","Гепатит D (Hepatitis D Virus), кач. oпределение РНК",цельная кровь (ЭДТА),кач,2,,"950,00",,,,
"50,150","Вирус простого герпеса 1 и 2 типа (Herpes Simplex Virus, HSV),  кач. определение ДНК",цельная кровь (ЭДТА),кач,1,,"450,00",,,,
"50,155","Цитомегаловирус (Cytomegalovirus, CMV), кол. определение ДНК",цельная кровь (ЭДТА),кол,1,,"600,00",,,,
"3,053","Вирус простого герпеса 1 и 2 типа (Herpes Simplex Virus, HSV),  кол. определение ДНК",цельная кровь (ЭДТА),кол,1,,"600,00",,,,
,,,,,,,,,,
,,,,,,,,,,
"50,160","Цитомегаловирус (Cytomegalovirus, CMV), кач. определение ДНК",цельная кровь (ЭДТА),кач,1,,"420,00",,,,
"50,165","Вирус герпеса 6 типа (Human  Herpes Virus 6, HHV), кол. определение ДНК",цельная кровь (ЭДТА),кол,1,,"650,00",,,,
"50,170","Вирус Варицелла-Зостер (Varicella-Zoster Virus, VZV),  кач. определение ДНК",цельная кровь (ЭДТА),кач,1,,"650,00",,,,
"50,175","Вирус Эпштейна-Барр (Epstein-Barr Virus, EBV), кач. определение ДНК",цельная кровь (ЭДТА),кач,1,,"550,00",,,,
"50,180","Вирус Эпштейна-Барр (Epstein-Barr Virus, EBV), кол. определение ДНК",цельная кровь (ЭДТА),кол,1,,"750,00",,,,
"50,185","Энтеровирус (Enterovirus), определение РНК",цельная кровь (ЭДТА),кач,9,,"880,00",,,,
"50,195",Вирус гепатита G (Hepatitis G virus) кач. определение РНК,цельная кровь (ЭДТА),кач,2,,"800,00",,,,
"53,360",Вирус краснухи (Rubella) кач. Определеие РНК,цельная кровь (ЭДТА),кач,5,,"880,00",,,,
"50,235","Цитомегаловирус /вирус Эпштейна-Барр /вирус герпеса 6 типа (Cytomegalovirus/Epstein-Barr Virus/Human  herpes virus 6), кач. определение ДНК",цельная кровь (ЭДТА),кач,1,,"600,00",,,,
"50,245","Одновременное определение ДНК вируса гепатита В, РНК вируса гепатита С, РНК ВИЧ 1 и 2 типа",цельная кровь (ЭДТА),кач,5,,"3900,00",,,,
,"Соскобы слизистых, отделяемое везикул",,,,,,,,,
"52,185","Вирус простого герпеса (Herpes Simplex Virus, HSV) 1 и 2 типа,  кач. определение ДНК",соскобы,кач,1,,"450,00",,,,
"52,190","Вирус Эпштейна-Барр (Epstein-Barr Virus, EBV),  кач. определение ДНК",соскобы,кач,1,,"450,00",,,,
"52,195","Цитомегаловирус (Cytomegalovirus), кач. определение ДНК",соскобы,кач,1,,"420,00",,,,
"52,200","Вирус герпеса 6 типа (Human  Herpes Virus 6, HHV),  кач. определение ДНК",соскобы,кач,1,,"450,00",,,,
"52,205","Вирус герпеса человека 8 типа (Human  Herpes Virus 8, HHV), кач. определение ДНК",соскобы,кач,2,,"320,00",,,,
"52,210","Вирус Варицелла-Зостер (Varicella-Zoster Virus, VZV), кач. определение ДНК",соскобы,кач,1,,"500,00",,,,
"52,235","Цитомегаловирус /вирус Эпштейна-Барр /вирус герпеса 6 типа (Cytomegalovirus/Epstein-Barr virus/Human  Herpes Virus 6), кач. определение ДНК",соскобы,кач,1,,"600,00",,,,
"52,245","Типирование вируса простого герпеса (Herpes Simplex Virus, HSV) 1 и 2 типа) кач. определение ДНК",соскобы,кач,1,,"440,00",,,,
"53,155","Вирус Эпштейн-Барр (Epstein-Barr virus, EBV) колич. ДНК",соскобы,кол,1,,"750,00",,,,
"53,295","ДНК вируса герпеса 6 типа (Human herpes virus, HHV), количественно",соскобы,кол,1,,"600,00",,,,
"53,350","Цитомегаловирус (Cytomegalovirus, CMV), количественно, ДНК",урогенитальные соскобы,кол,1,,"550,00",,,,
,Бактериальные инфекции (ИППП),,,,,,,,,
"52,100","Хламидия (Chlamydia trachomatis), кач. определение ДНК",соскобы слизистых,кач,1,,"300,00",,,,
"52,105","Микоплазма (Mycoplasma hominis), кач. определение  ДНК",урогенитальные соскобы,кач,1,,"300,00",,,,
"52,110","Микоплазма (Mycoplasma genitalium), кач. определение  ДНК",урогенитальные соскобы,кач,1,,"300,00",,,,
"52,115","Уреаплазма (Ureaplasma species), кач. определение ДНК",урогенитальные соскобы,кач,1,,"350,00",,,,
"52,120","Уреаплазма (Ureaplasma species), кол. определение  ДНК",урогенитальные соскобы,кол,1,,"550,00",,,,
"52,130","Типирование U.urealyticum / U. parvum, кач. определение ДНК",урогенитальные соскобы,кач,1,,"390,00",,,,
"52,135","Гарднерелла (Gardnerella vaginalis),  кач. определение   ДНК",урогенитальные соскобы,кач,1,,"300,00",,,,
"52,145","Гонорея (Neisseria gonorrhoeae),   кач. определение ДНК",урогенитальные соскобы,кач,1,,"300,00",,,,
"52,422","Ureaplasma urealyticum, качественное определение ДНК",урогенитальные соскобы,кач,1,,"350,00",,,,
"53,275",Treponema pallidum - кач ДНК,урогенитальные соскобы,кач,1,,"400,00",,,,
"52,335","«ФЛОРОСКРИН-Аэробы» (количественное определение ДНК энтеробактерий, стафилококков и стрептококков)",урогенитальные соскобы,кол,1,,"800,00",,,,
"52,340","Хламидия (Chlamydia trachomatis), кол. определение ДНК",урогенитальные соскобы,кол,1,,"700,00",,,,
"52,345","Микоплазма (Mycoplasma hominis), кол. определение ДНК",урогенитальные соскобы,кол,1,,"700,00",,,,
"52,350","Микоплазма (Mycoplasma genitalium), кол. определение  ДНК",урогенитальные соскобы,кол,1,,"700,00",,,,
"52,355","«ФЛОРОСКРИН-Бактериальный вагиноз» (количественное определение ДНК Gardnerella vaginalis, Atopobium vaginae, Lactobacillus spp. и общего количества бактерий (Bacteria)",урогенитальные соскобы,кол,1,,"800,00",,,,
"52,360","«ФЛОРОСКРИН-Микоплазмы» (количественное определение ДНК Ureaplasma parvum, Ureaplasma urealyticum и Mycoplasma hominis)",урогенитальные соскобы,кол,1,,"800,00",,,,
03.013,"Андрофлор-скрин (исследование биоценоза урогенитального тракта у мужчин, скрин)",урогенитальные соскобы,заключение,2,,"2300,00",,,,
"52,370",Фемофлор-16,урогенитальные соскобы,заключение,2,,"2150,00",,,,
"52,375",Фемофлор-8,урогенитальные соскобы,заключение,2,,"1600,00",,,,
03.014,Фемофлор-скрин13 - Исследование биоценоза урогенитального тракта,урогенитальные соскобы,заключение,2,,"1900,00",,,,
03.015,ФЛОРОЦЕНОЗ КОМПЛЕКС- Исследование биоценоза урогенитального тракта (18 параметров),урогенитальные соскобы,заключение,2,,"1800,00",,,,
03.016,"ФЛОРОЦЕНОЗ - NCMT (Chlamydia trachomatis, Mycoplasma genitalium, Neisseria gonorrhoeae,  Trichomonas vaginalis)",урогенитальные соскобы,заключение,2,,"800,00",,,,
03.017,"ФЛОРОЦЕНОЗ - АЭРОБЫ (Enterobacteriaceae, Staphylococcus, Streptococcus)",урогенитальные соскобы,заключение,2,,"800,00",,,,
03.018,"ФЛОРОЦЕНОЗ - БАКТЕРИАЛЬНЫЙ ВАГИНОЗ (Lactobacillus spp, Gardnerella vaginalis, Atopobium vaginae)",урогенитальные соскобы,заключение,2,,"800,00",,,,
03.019,ФЛОРОЦЕНОЗ МИКОПЛАЗМЫ-УРЕАПЛАЗМЫ,урогенитальные соскобы,заключение,2,,"800,00",,,,
"52,410","ДНК трихомонады (Trichomonas vaginalis), количественно",урогенитальные соскобы,кол,1,,"650,00",,,,
"52,420","ДНК Ureaplasma parvum /ДНК Ureaplasma urealyticum, количественно",урогенитальные соскобы,кол,1,,"620,00",,,,
"52,425","ДНК гарднереллы (Gardnerella vaginalis), количественно",урогенитальные соскобы,кол,1,,"700,00",,,,
"53,110","Listeria monocitogenes, кач. определение ДНК",кал,кач,5,,"900,00",,,,
,Грибковые инфекции и простейшие,,,,,,,,,
"52,150","Трихомонада (Trichomonas  vaginalis), кач. определение ДНК",соскобы,кач,1,,"330,00",,,,
"53,125","Кандида (Candida albicans),   кач. определение ДНК",соскобы,кач,1,,"300,00",,,,
"53,150","Токсоплазма (Тoxoplasma gondii), кач. определение ДНК",соскобы,кач,2,,"340,00",,,,
"53,245","Кандида (Сandida albicans/glabrata /kruzei), определение вида,  кач. определение ДНК",соскобы,кач,1,,"700,00",,,,
03.020,ФЛОРОЦЕНОЗ - КАНДИДА ,соскобы,заключение,2,,"1100,00",,,,
"53,250","«ФЛОРОСКРИН-Кандиды» (количественное определение ДНК грибов рода Candida: C.albicans, C.glabrata, C.krusei, C.parapsilosis и C.tropicalis)","Соскобы и мазки со слизистых оболочек урогенитального тракта, мазки со слизистых оболочек полости рта, ротоглотки, моча",кол,1,,"1000,00",,,,
,Папилломавирусные инфекции,,,,,,,,,
"52,155","Вирус папилломы человека (Human PapillomoVirus, HPV) низкого канцерогенного риска, типы 6/11,  кач. определение ДНК",урогенитальные соскобы,кач,1,,"360,00",,,,
"52,160","Вирус папилломы человека высокого канцерогенного риска (Human PapillomoVirus, HPV), без определения типа, кач. определение  ДНК ВПЧ  ( Human papillomavirus 16,18,31, 33, 35, 39, 45, 52, 58, 59, 67) - выдается общий результат 
",урогенитальные соскобы,кач,1,,"600,00",,,,
"52,165","Вирус папилломы человека высокого канцерогенного риска (Human PapillomoVirus, HPV) определение филогенетических групп вируса (16,18,31,33,35,39,45,51,52,56,58 59 типы),  кол. определение ДНК",урогенитальные соскобы,кол,1,,"780,00",,,,
"52,170","Вирус папилломы человека  высокого канцерогенного риска (Human PapillomoVirus, HPV) с определением типа вируса (16,18,31,33 ,35,39,45 ,51,52,56, 58,59) кач. определение ДНК",урогенитальные соскобы,ген,1,,"850,00",,,,
"52,215","Вирус папилломы человека (Human PapillomoVirus, HPV) 16/18 тип,  кач. определение ДНК",урогенитальные соскобы,кач,1,,"360,00",,,,
"52,220","Вирус папилломы человека (Human PapillomoVirus, HPV) 16/18 тип, кол. определение ДНК",урогенитальные соскобы,кол,1,,"470,00",,,,
"52,435","ДНК ВПЧ ВКР 14 генотипов (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68) суммарно, колич.;  ДНК ВПЧ 16, 18 и 45 генотипов отдельно, колич.",урогенитальные соскобы,кол,2,,"640,00",,,,
"52,436",ВПЧ ВКР (без определения филогенетических групп) количественное определение ДНК,урогенитальные соскобы,кол,1,,"990,00",,,,
"52,438","ДНК папилломавирусов (Human Papillomavirus) скрининг РАСШИРЕННЫЙ с определением 14 типов (Контроль взятия материала, типы 6, 11, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59), количественный",урогенитальные соскобы,,2,,"1500,00",,,,
"52,390","ДНК папилломавирусов (Human Papillomavirus, ВПЧ) 6/11 типов с определением типа, количественно",урогенитальные соскобы,кол,1,,"480,00",,,,
"52,395","ДНК папилломавирусов (Human Papillomaviruus) типирование, с определением 20 типов",соскоб,кол,1,,"1800,00",,,,
03.021,"КВАНТ-21 Human papillomavirus - титр, генотип 21 тип (6, 11, 44, 16, 18, 26, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82) - результат выдается по каждому типу отдельно ",соскоб,кол,1,,"2500,00",,,,
03.022,"КВАНТ -4 Human papillomavirus - титр, генотип 4 типа  (6, 11, 16, 18)",соскоб,кол,1,,"850,00",,,,
"93,565"," Скрининг HPV (4 типа HPV+КВМ):
HPV(ВПЧ ВКР) 16тип-кол ДНК, HPV(ВПЧ ВКР) 18тип-кол ДНК, HPV(ВПЧ) 6-11типы-кач ДНК",соскоб,кач/кол,1,,"850,00",,,,
,Возбудители респираторных инфекций,,,,,,,,,
"53,190","Микоплазма /Хламидия  (Mycoplasma pneumoniae /Chlamydophila pneumoniae), кач. определение ДНК",соскобы,кач,2,,"1500,00",,,,
"53,195","Вирус гриппа A, B, A/H1N1 (Myxovirus influenzae A, B, A/H1N1)",соскобы,кач,2,,"1000,00",,,,
"53,235","Дифференциация ДНК возбудителей коклюша (Bordetella pertusis), паракоклюша (Bordetella parapertusis), бронхисептикоза (Bordetella bronchiseptica) кач. определение ДНК",соскобы,кач,2,,"500,00",,,,
"53,315","Pneumocystis jirovecii (carinni), кач. ДНК",соскобы,кач,6,,"700,00",,,,
"53,170",Микобактерии туберкулеза (M.tuberculosis complex),соскоб,кач,5,,"450,00",,,,
"53,290","ОРВИ скрининг: выявление РНК вирусов гриппа А (Influenza virus A) и гриппа В (Influenza virus В), вируса гриппа Influenza virus А/H1N1(sw2009), РНК респираторно-синцитиального вируса (human Respiratory Syncytial virus – hRSv), метапневмовируса (human Metapneumovirus – hMpv), вирусов парагриппа 1, 2, 3 и 4 типов (human Parainfluenza virus-1-4 – hPiv), коронавирусов (human Coronavirus – hCov), риновирусов (human Rhinovirus – hRv), ДНК аденовирусов групп B, C и E (human Adenovirus B, C, E – hAdv) и бокавируса (human Bocavirus – hBov)",соскоб,кач,2,,"2700,00",,,,
"53,293","Определение РНК коронавируса SARS-CoV-2, кач.",соскоб,кач,1,,"1000,00",,,,
"53,297","Выявление РНК коронавируса SARS-CoV-2 генетических вариантов Omicron и Delta, кач.",соскоб,кач,1,,"1300,00",,,,
"53,300","Parvovirus B19 (парвовирус  B19), кач. ДНК",соскоб,кач,2,,"1300,00",,,,
,Воздушно-капельные инфекции,,,,,,,,,
03.044,"N.meningitides, Streptococcus pneu., H.inflluenzae",ликвор,кач,1,,"800,00",,,,
"53,355","Вирус кори (Measles morbillivirus), кач. определение РНК",соскоб,кач,5,,"2600,00",,,,
,Диагностика гнойно-септических осложнений,,,,,,,,,
"53,255",Синегнойная палочка (Pseudomonas aeruginosa) кол. определение ДНК анаэробных неспорообразующих бактерий,"Бронхоальвеолярный лаваж (БАЛ), мокрота, моча, секрет простаты, цельная кровь (ЭДТА), мазок из ротоглотки.",кол,2,,"600,00",,,,
"53,265","Стрептококк группы В (Streptoccocus agalactiae), кол. определение ДНК","Цельная кровь (ЭДТА), мазок из ротоглотки, соскоб эпителиальных клеток с боковых стенок влагалища.",кол,2,,"460,00",,,,
"53,270","Метициллин-резистентный золотистый стафолококк (Methicillin-resistant Staphylococcus aureus, MRSA)","Мазок из ротоглотки, бронхоальвеолярный лаваж (БАЛ), мокрота, моча (осадок первой порции мочи), цельная кровь (ЭДТА), смывы с медицинского оборудования и инвентаря.",кол,2,,"1200,00",,,,
"53,340","Парвовирус B19 (Parvovirus B19), колич. ДНК",соскобы,кол,2,,"1480,00",,,,
,"выявления РНК/ДНК возбудителей инфекций, передающихся иксодовыми клещами",,,,,,,,,
"53,280","Выявление РНК TBEV (вируса клещевого энцефалита, Tick-borne encephalitis virus), Borrelia burgdorferi sl, Ehrlichia chaffeensis и Ehrlichia, ДНК Anaplasma phagocytophilum",клещ иксодовый,кач,2,,"2560,00",,,,
,Возбудители кишечных инфекций,,,,,,,,,
"51,140","Энтеровирус (Enterovirus), определение РНК",кал,кач.,5,,"890,00",,,,
"51,141","Ротавирус (Rotavirus) группы А, определение РНК",кал,кач,9,,"660,00",,,,
"51,150","ОКИ-скрин (микроорганизмы рода Shigella, кач. ДНК, микроорганизмы Salmonella кач. ДНК, микроорганизмы Campylobacter кач. ДНК, норовирус 2 генотипа кач., астровирус кач., аденовирус группы F кач.)",кал,,5,,"2500,00",,,,
03.023,"Шигелла (Shigella spp.) и энтероинвазивные E. coli (EIEC), Сальмонелла (Salmonella spp.) и термофильные Кампилобактерии (Campylobacter spp.)                                          ",кал,кач.,1,,"1150,00",,,,
03.024,"Кишечные вирусы (Rotavirus A, Norovirus 2 генотип, Astrovirus)",кал,кач.,1,,"1100,00",,,,
03.025,Corynebacterium diphtheriae(кач.),кал,кач.,1,,"650,00",,,,
"51,155","Хеликобактер (Helicobacter pylori), кач. определение ДНК",кал,кач.,3,,"500,00",,,,
"51,160","Shigella spp.+E.coli (EIEC, энтероинвазивные штаммы), S.dysenteriae I типа + E.coli (EHEC, энтерогеморрагические штаммы), Salmonella spp, Campylobacter spp., кач. определение ДНК
",кал,кач.,5,,"1600,00",,,,
"51,165","Rotavirus/Astrovirus/Norovirus GI и GII/
Adenovirus (группа F) / Enterovirus, кач. определение РНК/ДНК
",кал,кач,5,,"1800,00",,,,
"53,160","Хеликобактер (Helicobacter pylori), кач. определение ДНК",биоптат слизистой желудка,кач.,3,,"660,00",,,,
,HLA -ТИПИРОВАНИЕ,,,,,,,,,
"50,500","Типирование генов HLA 2 класса, локус DRB1",цельная кровь (ЭДТА),кач,10,,"2350,00",,,,
"50,505","Типирование генов HLA 2 класса, локус DQA1",цельная кровь (ЭДТА),кач,10,,"2350,00",,,,
"50,510","Типирование генов HLA 2 класса, локус DQB1",цельная кровь (ЭДТА),кач,10,,"2350,00",,,,
"50,515",HLA B27,цельная кровь (ЭДТА),кач,7,,"1800,00",,,,
"50,520",Комплекс «Генотипирование супружеской пары по антигенам гистосовместимости HLA II класса»,цельная кровь (ЭДТА) - 2 пробирки,кач,10,,"11550,00",,,,
"50,525",Типирование HLA DQ2/DQ8 при целиакии,цельная кровь (ЭДТА),кач,16,,"6600,00",,,,
,ЦИТОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,,,,,,,
"14,100",Исследование отделяемого влагалища,мазок на стекле,заключение,2,,"620,00",,,,
"14,106",Соскоб шейки матки и/или цервикального канала по Лейшману - 1 препарат,соскоб эпителия шейки матки и /или цервикального канала на стекле,заключение,2,,"730,00",,,,
"14,107",Соскоб шейки матки и/или цервикального канала по Лейшману - 2 препарата,соскоб эпителия шейки матки и цервикального канала на стекле,заключение,2,,"780,00",,,,
"14,108",Соскоб шейки матки и/или цервикального канала по Папаниколау - 1 препарат  (PAP тест),соскоб эпителия шейки матки и/или цервикального канала на стекле,заключение,2,,"1100,00",,,,
"14,109",Соскоб шейки матки и/или цервикального канала по Папаниколау - 2 препарата  (PAP тест),соскоб эпителия шейки матки и цервикального канала на стекле,заключение,2,,"1250,00",,,,
"14,110",Исследование аспиратов из полости матки,"аспират полости матки, мазок-отпечаток с ВМС на стекле",заключение,2,,"620,00",,,,
"14,115",Исследование мокроты,мокрота,заключение,2,,"740,00",,,,
"14,120","Исследование  транссудатов, экссудатов, секретов, экскретов и др","транссудаты, экссудаты, секреты, экскреты и другое",заключение,2,,"620,00",,,,
"14,125",Исследование пунктатов молочной железы и кожи,"мазок-отпечаток, пунктат на стекле",заключение,2,,"620,00",,,,
"14,126",Исследование отделяемого молочной железы,"соскоб, мазок-отпечаток, отделяемое на стекле",заключение,2,,"620,00",,,,
"14,130",Исследование пунктатов щитовидной железы,"мазок-отпечаток, пунктат на стекле",заключение,2,,"630,00",,,,
"14,135",Исследование пунктатов других органов/тканей,"мазок-отпечаток, пунктат на стекле",заключение,2,,"630,00",,,,
"14,140",Исследование эндоскопического материала,мазок-отпечаток на стекле,заключение,2,,"700,00",,,,
"14,141",Цитологическое исследование эндоскопического материала на Helicobacter pylori,мазок-отпечаток на стекле,заключение,2,,"700,00",,,,
"14,150",Исследование соскобов и отпечатков опухолей и опухолевидных образований,"соскоб, мазок-отпечаток на стекле",заключение,2,,"700,00",,,,
"14,155",Цитологичекое исследование мочи на атипические клетки,моча,заключение,2,,"740,00",,,,
,ЖИДКОСТНАЯ ЦИТОЛОГИЯ,,,,,,,,,
"14,175",Жидкостная цитология BD ShurePath,соскоб эпителия шейки матки и  цервикального канала в виале BD,заключение,2,,"1850,00",,,,
"14,177",Скрининг рака шейки матки (жидкостная цитология BD ShurePath) с ВПЧ тестом,соскоб эпителия шейки матки и  цервикального канала в виале BD,заключение,2,,"3000,00",,,,
"14,178",Жидкостная цитологи BD ShurePath: определение онкопротеина p16ink4a и Ki67,соскоб эпителия шейки матки и  цервикального канала в виале BD,заключение,7,,"4800,00",,,,
"14,179",Стандартное цитологическое исследование эндометрия (обзорная микроскопия) методом жидкостной цитологии BD ShurePath,соскоб эндометрия в виале BD,заключение,2,,"1650,00",,,,
"14,200",Определение экспрессии белков p16 и Ki-67 в цитологических образцах шейки матки,соскоб эпителия шейки матки и  цервикального канала в виале BD,заключение,7,,"7200,00",,,,
"14,201","Цитологическое исследование других органов и тканей методом жидкостной цитологии, в том числе мочи, 1 локализация","пунктаты, соскобы, моча ",заключение,2,,"1650,00",,,,
,ГИСТОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,,,,,,,
"15,000","Исследование диагностических биопсий (кроме пункционных) разных органов и тканей при воспалении, дисфункции, дисплазии, опухолях, требующих уточнения гистогенеза, степени инвазии, стадии прогрессирования, ВНИМАНИЕ: В рамках дифф,диагностики Helycobacter pylori/кишечной метаплазии/пищевода Барретта требуется назначение в комплексе с доп.окрасками: 15.600 и/или 15.650 (*день доставки б/м в лабораторию не учитывается)","Биопсии пищевода, желудка, кишки, бронха, гортани, трахеи, полости рта, языка, носоглотки, мочевыводящих путей, шейки матки, влагалища",заключение,3*,,"1500,00",,,,
"15,200","Исследование биопсийно-операционного материала разных органов и тканей при  воспалительных процессах, дистрофиях, патологии артерий/вен, пороках развития (1 и 2 категории сложности) (день доставки б/м в лабораторию не учитывается)","Операционный материал: анальная трещина, аппендикс при не деструктивных формах аппендицита, без мезентериолита, грыжевой мешок при неущемленной или ущемленной грыже, дивертикул ЖКТ, желудок при язвенной болезни 12 п.к.",заключение,4,,"1800,00",,,,
"15,300","Исследование операционного материала разных органов и тканей при инфекционных заболеваниях, опухолях ясного гистогенеза без дисплазии, гранулематозном воспалении (3 категория сложности)  (день доставки б/м в лабораторию не учитывается)","Операционный материал: доброкачественные опухоли разной локализации ясного гистогенеза, злокачественные опухоли разной локализацииясного гистогенеза с инвазией и метастазами в лимфатические узлы, полип цервикального канала, полости матки (без дисплазии)",заключение,4,,"2000,00",,,,
"15,400","Исследование операционного материала разных органов и тканей при воспалении, дисфункции, дисплазии, опухолях, требующих уточнения гистогенеза, степени инвазии, стадии прогрессирования (4 стадия сложности),
ВНИМАНИЕ: в рамках дифф. диагностики Helycobacter","Операционный материал при пограничных или злокачественных опухолях легких, желудка и других органов, операционный материал шейки матки при дисплазии и раке, соскобы цервикального канала, полости матки при дисфункции, воспалении и опухолях",заключение,5*,,"2300,00",,,,
"15,500","Исследование пункционных биопсий различных органов и тканей, биопсий и операционного материала при иммунопатологических процессах, опухолях и опухолеподобных поражениях (5 категория сложности)  (*день доставки б/м в лабораторию не учитывается)","Пункционные биопсии различных органов и тканей при иммунопатологических процессах (васкулиты, ревматические болезни, аутоиммунные болезни), опухоли и опухолеподобные поражения кожи, глаза, мягкотканные, мезотелиальные, нейро-эктодермальные, менингососудистые, эндоркинные, нейро-эндокринные, опухоли кроветворной и лимфатической ткани, пункция предстательной железы и ТУР",заключение,5,,"3000,00",,,,
"15,550",Мультифокальная биопсия предстательной железы,биоптат предстательной железы,заключение,5,,"12000,00",,,,
"15,600",Окраска гастроскопического материала на Helicibacter pylori (дополнительно к панели 15.000 или  15.400)  (*день доставки б/м в лабораторию не учитывается),биоптат желудка,заключение,4,,"1800,00",,,,
"15,610","Гистологическое исследование эндоскопического материала желудка с использованием системы OLGA, с окраской на Helicobacter pylori",биоптат желудка,заключение,4*,,"1300,00",,,,
"15,650","Окраска гастроскопического материала для выявления кишечной метаплазии/диагностики пищевода Барретта (PAS-реакция), Заказывается дополнительно к панели 15.000 или 15.400 (*день доставки б/м в лабораторию не учитывается)",биоптат желудка,заключение,4,,"1500,00",,,,
"15,680",Гистологическое исследование эндоскопического материала пищевода для диагностики пищевода Барретта (PAS-реакция),биоптат пищевода,заключение,4*,,"1350,00",,,,
"15,700","Исследование костно-хрящевых тканей, включая декальцинацию операционного материала  (*день доставки б/м в лабораторию не учитывается)",деструктивно-дегенеративные изменения костной и хрящевой ткани,заключение,14*,,"1800,00",,,,
"15,950",Консультация готовых гистологических стеклопрепаратов (до 5 стекол),стеклопрепарат,заключение,3*,,"1350,00",,,,
"15,955",Консультация готовых гистологических стеклопрепаратов (6-10 стекол),стеклопрепарат,заключение,3*,,"2250,00",,,,
"15,960",Консультация гистологических парафиновых блоков (включая изготовление стеклопрепаратов) до 5 блоков,парафиновый блок,заключение,3*,,"1950,00",,,,
"15,965",Консультация гистологических парафиновых блоков (включая изготовление стеклопрепаратов) 6-10 блоков,парафиновый блок,заключение,3*,,"4000,00",,,,
,ИММУНОГИСТОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,,,,,,,
"15,800","Исследование рецепторного статуса при раке молочной железы (рецепторы эстрогена и прогестерона, Ner2, neu, Ki67, всегда исследуются 4 маркера) (день доставки б/м в лабораторию не учитывается)",биоптат молочной железы,заключение,7,,"17400,00",,,,
"15,810","Определение базального фенотипа при раке молочной железы (СK5, EGFR1, c-kit, всегда исследуются 3 маркера) (день доставки б/м в лабораторию не учитывается)",биоптат молочной железы,заключение,7,,"9400,00",,,,
"15,820","Исследование опухоли молочной железы (1 блок) на наличие инвазивного компанента (СК5, р63, всегда исследуются 2 маркера) (день доставки б/м в лабораторию не учитывается)",биоптат молочной железы,заключение,7,,"7500,00",,,,
"15,830","Исследование опухоли предстательной железы (1 блок) на наличие инвазивного компонента (СК5, р63, AMACR)",биоптат предстательной железы,заключение,7,,"12100,00",,,,
"15,840","Определение индекса пролиферативной актитвности (Ki67, исследуется только 1 маркер) (день доставки б/м в лабораторию не учитывается)",биоптат,заключение,7,,"3500,00",,,,
"15,850",Определение прогностических маркеров (1 маркер),биоптат,заключение,7,,"9700,00",,,,
"15,851",Определение экспрессии белка ALK иммуногистохимическим методом,биоптат,заключение,9,,"13200,00",,,,
"15,852",Определение экспрессии белка ROS1 иммуногистохимическим методом,биоптат,заключение,9,,"14325,00",,,,
"15,853",Определение экспрессии белка HER2 иммуногистохимическим методом,биоптат,заключение,9,,"7200,00",,,,
"15,854",Иммуногистохимическая диагностика хронического эндометрита (фаза пролиферации),биоптат,заключение,9,,"14700,00",,,,
"15,855",Иммуногистохимическая диагностика рецептурного статуса эндометрия (стадия секреции)-стандартное,биоптат,заключение,9,,"12000,00",,,,
"15,856",Иммуногистохимическая диагностика рецептурного статуса эндометрия (стадия секреции)-расширенное,биоптат,заключение,9,,"14700,00",,,,
"15,857","Определение ER, PR - статуса методом ИГХ при раке тела матки, саркоме матки",биоптат,заключение,9,,"7800,00",,,,
"15,861",Дифференциальная диагностика пролиферирующей лейомиомы и лейомиосаркомы матки,биоптат,заключение,11,,"19500,00",,,,
"15,862","Первичная иммуногистохимическая панель диагностики рака, сарком, лимфом",биоптат,заключение,4,,"7800,00",,,,
"15,865","Диагностика и дифференциальная диагностика сарком (количество используемых маркеров определяется после завершения исследования, максимальное количество маркеров-10, день доставки биоматериала в лабораторию не учитывается)",биоптат,заключение,7,,"23200,00",,,,
"15,870","Диагностика и дифференциальная диагностика доброкачественной и злокачественной гастроинтестинальной стромальной опухоли  (GIST), различной локализации (количество используемых маркеров определяется после завершения исследования, максимальное количество маркеров-10, день доставки биоматериала в лабораторию не учитывается)",биоптат,заключение,7,,"3700,00",,,,
"15,875","Определение и оценка прогностически значимых маркеров (p53, EGFR1, VGFR) в злокачественных эпителиальных опухолях (исследуется один из указанных маркеров)",биоптат,заключение,7,,"7500,00",,,,
